Station: Härkingen-A1
Land, Autobahn
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;12.4;23.4;1.2;0.34;37.6;31.6;1.0;8956.4;24.2;5.0;0.0;0.0
01.01.2019 02:00;11.7;25.1;1.6;0.35;56.7;46.9;1.1;10474.7;26.1;4.8;0.0;0.0
01.01.2019 03:00;20.1;19.3;1.0;0.30;37.8;31.9;0.7;7596.3;20.8;4.7;0.0;0.0
01.01.2019 04:00;19.5;21.2;0.7;0.29;21.9;18.4;0.6;7181.8;26.4;4.5;0.0;0.0
01.01.2019 05:00;24.9;15.6;0.6;0.27;17.2;14.7;0.4;4442.9;16.4;4.5;0.0;0.0
01.01.2019 06:00;31.8;13.9;0.5;0.25;18.0;15.3;0.4;3285.3;14.7;4.5;0.0;0.0
01.01.2019 07:00;33.6;11.4;0.5;0.23;15.4;13.0;0.3;3224.6;12.6;4.3;0.0;0.0
01.01.2019 08:00;33.9;22.0;0.4;0.26;16.9;14.7;0.4;5626.1;30.0;4.3;0.0;0.0
01.01.2019 09:00;36.9;15.1;0.3;0.22;14.8;12.7;0.3;3340.2;19.8;4.0;0.0;4.4
01.01.2019 10:00;31.7;25.4;0.4;0.23;10.6;9.2;0.3;6325.2;41.3;3.9;0.0;30.1
01.01.2019 11:00;34.5;24.6;0.4;0.25;12.9;10.9;0.4;10574.7;40.2;4.2;0.0;57.2
01.01.2019 12:00;35.5;26.8;0.5;0.26;16.2;13.6;0.5;9201.5;48.1;4.6;0.0;115.1
01.01.2019 13:00;38.5;22.9;0.4;0.28;15.7;13.3;0.5;10402.8;43.0;5.0;0.0;151.0
01.01.2019 14:00;37.3;27.6;0.4;0.28;12.4;10.4;0.5;12148.2;52.7;5.2;0.0;88.8
01.01.2019 15:00;33.6;30.6;0.4;0.28;11.0;9.0;0.6;13752.4;59.2;5.4;0.0;64.0
01.01.2019 16:00;26.0;35.7;0.4;0.29;10.6;8.6;0.6;20580.3;68.6;5.6;0.0;19.4
01.01.2019 17:00;39.4;11.6;0.2;0.23;3.3;2.6;0.2;6076.3;16.6;5.2;0.0;3.4
01.01.2019 18:00;45.0;27.5;0.3;0.23;4.7;3.3;0.3;11846.0;44.6;5.1;0.0;0.0
01.01.2019 19:00;45.8;27.4;0.3;0.23;5.0;2.6;0.3;11490.7;47.9;5.3;0.0;0.0
01.01.2019 20:00;42.2;27.9;0.3;0.23;3.1;2.1;0.3;10555.8;44.2;5.1;0.0;-0.4
01.01.2019 21:00;32.5;31.3;0.4;0.29;4.3;3.1;0.5;18066.7;55.6;4.6;0.0;-0.0
01.01.2019 22:00;34.4;26.0;0.4;0.25;4.9;3.5;0.4;12508.4;39.7;4.4;0.0;-0.4
01.01.2019 23:00;28.8;22.8;0.3;0.26;6.8;5.5;0.4;10599.7;34.0;4.1;0.0;-0.4
02.01.2019 00:00;25.3;18.9;0.3;0.28;9.5;7.8;0.4;7498.6;30.1;4.0;0.1;-0.5
02.01.2019 01:00;29.9;16.8;0.3;0.24;8.1;7.0;0.4;6156.8;24.5;3.9;0.1;-1.0
02.01.2019 02:00;40.3;9.1;0.2;0.22;6.2;5.3;0.2;3726.6;11.9;4.0;0.0;-0.6
02.01.2019 03:00;35.1;12.4;0.2;0.22;7.0;5.9;0.3;4010.9;16.1;3.9;0.0;-0.2
02.01.2019 04:00;44.3;10.6;0.2;0.21;7.4;5.3;0.2;2884.8;13.8;3.5;1.1;-0.8
02.01.2019 05:00;42.5;12.7;0.1;0.20;6.0;3.8;0.2;4848.8;17.5;2.8;0.0;-0.2
02.01.2019 06:00;64.4;8.2;0.1;0.18;3.8;2.5;0.1;2769.1;10.1;2.6;0.3;-1.1
02.01.2019 07:00;72.9;4.6;0.0;0.17;5.4;3.1;0.1;1090.5;5.1;2.8;0.0;-0.8
02.01.2019 08:00;76.6;4.3;0.1;0.17;6.2;3.8;0.0;1010.2;4.8;2.4;0.0;-0.1
02.01.2019 09:00;73.4;6.8;0.2;0.17;7.8;4.4;0.1;3155.3;7.9;2.1;0.0;12.2
02.01.2019 10:00;69.8;11.7;0.1;0.19;9.3;4.6;0.1;4023.8;15.7;1.9;0.0;58.4
02.01.2019 11:00;46.2;44.1;0.3;0.25;11.2;5.2;0.4;18945.1;68.7;2.4;0.0;86.9
02.01.2019 12:00;41.1;63.6;0.4;0.30;11.7;5.3;0.6;28148.3;113.7;3.0;0.0;96.4
02.01.2019 13:00;60.2;32.7;0.2;0.21;10.9;5.1;0.3;12869.6;51.3;3.3;0.0;141.2
02.01.2019 14:00;52.7;43.8;0.3;0.25;10.9;5.3;0.4;21471.7;76.6;3.2;0.0;76.9
02.01.2019 15:00;43.7;55.0;0.4;0.32;14.1;6.0;0.6;26715.4;100.2;3.1;0.0;76.5
02.01.2019 16:00;47.6;43.5;0.4;0.29;12.5;6.2;0.6;19382.0;79.0;2.5;0.0;57.9
02.01.2019 17:00;28.7;64.6;0.5;0.32;12.1;6.7;0.9;29213.7;116.3;2.4;0.0;7.2
02.01.2019 18:00;32.7;61.2;0.5;0.31;12.0;6.3;0.6;24313.5;103.4;2.7;0.0;0.0
02.01.2019 19:00;61.1;20.3;0.1;0.21;12.7;5.6;0.2;6995.5;28.3;2.7;0.0;-0.6
02.01.2019 20:00;66.2;11.0;0.1;0.19;10.0;5.5;0.2;4370.6;12.9;2.4;0.0;0.0
02.01.2019 21:00;67.1;8.3;0.1;0.19;9.6;6.2;0.2;3084.7;8.8;2.4;0.0;-0.1
02.01.2019 22:00;63.5;10.8;0.2;0.20;11.1;7.2;0.2;3740.8;11.8;1.8;0.0;-0.8
02.01.2019 23:00;56.6;20.2;0.1;0.21;15.1;8.2;0.3;8300.4;25.6;1.8;0.0;0.0
03.01.2019 00:00;45.1;32.0;0.2;0.26;30.7;9.4;0.4;11508.8;44.4;1.3;0.0;-0.8
03.01.2019 01:00;36.1;37.8;0.4;0.28;21.0;8.1;0.4;15356.6;53.1;0.3;0.0;-1.0
03.01.2019 02:00;19.3;46.7;0.5;0.27;11.7;7.1;0.4;16040.8;68.9;-1.1;0.0;-1.0
03.01.2019 03:00;5.3;59.1;0.5;0.26;12.5;7.5;0.5;29821.5;80.1;-1.6;0.0;-1.0
03.01.2019 04:00;11.2;46.6;0.6;0.25;11.9;7.8;0.5;14967.1;59.0;-2.2;0.0;-1.0
03.01.2019 05:00;11.6;44.3;1.0;0.28;13.2;8.8;0.6;23004.3;71.7;-2.0;0.0;-1.0
03.01.2019 06:00;13.3;36.6;1.1;0.27;12.4;8.6;0.5;15893.6;47.2;-2.6;0.0;-1.0
03.01.2019 07:00;7.4;43.3;1.7;0.30;14.7;10.0;0.6;28001.9;76.0;-2.4;0.0;-0.7
03.01.2019 08:00;10.0;35.5;0.9;0.28;14.8;10.5;0.5;8544.8;38.4;-2.7;0.0;-0.5
03.01.2019 09:00;12.9;33.4;0.9;0.28;16.8;12.1;0.6;10694.0;41.5;-2.8;0.0;18.0
03.01.2019 10:00;17.2;29.0;1.0;0.30;19.1;14.0;0.8;12414.0;44.8;-2.6;0.0;118.5
03.01.2019 11:00;38.0;20.8;0.8;0.25;15.7;10.5;0.4;6599.4;29.6;-0.9;0.0;237.9
03.01.2019 12:00;59.5;10.4;0.7;0.20;11.6;7.1;0.2;5427.5;13.3;0.4;0.0;317.1
03.01.2019 13:00;61.5;10.7;0.7;0.20;9.8;5.9;0.2;6552.4;14.3;1.3;0.0;349.3
03.01.2019 14:00;58.0;14.0;0.5;0.21;9.3;6.1;0.2;6731.0;18.9;1.9;0.0;322.7
03.01.2019 15:00;62.9;10.6;0.5;0.20;7.6;4.6;0.2;5560.5;12.6;2.0;0.0;213.5
03.01.2019 16:00;58.1;13.4;0.5;0.20;7.2;4.5;0.2;5309.8;14.5;1.3;0.0;64.9
03.01.2019 17:00;49.9;21.9;0.6;0.23;9.6;5.7;0.3;9641.6;26.4;0.9;0.0;12.3
03.01.2019 18:00;47.4;21.8;0.7;0.24;9.7;5.6;0.4;9167.3;22.5;0.4;0.0;0.0
03.01.2019 19:00;22.2;64.3;1.1;0.36;13.4;7.0;0.9;34240.2;116.4;0.5;0.0;0.0
03.01.2019 20:00;4.4;86.1;1.2;0.41;15.0;7.9;1.2;42846.2;151.3;0.2;0.0;-0.5
03.01.2019 21:00;9.5;67.7;1.4;0.44;21.8;10.6;1.4;33036.9;131.0;-0.4;0.0;-0.1
03.01.2019 22:00;10.5;55.5;0.9;0.37;24.3;10.4;0.9;28696.0;93.3;-0.7;0.0;0.0
03.01.2019 23:00;11.5;54.7;0.9;0.40;40.1;11.9;1.0;23868.4;91.1;-0.4;0.0;0.0
04.01.2019 00:00;11.7;44.9;0.6;0.33;33.9;11.0;0.8;14759.3;63.1;-0.9;0.0;-0.1
04.01.2019 01:00;12.1;44.3;0.9;0.31;17.3;9.5;0.8;13304.5;50.2;-0.9;0.0;0.0
04.01.2019 02:00;6.4;51.5;0.9;0.33;17.8;10.2;0.9;11011.1;59.4;-0.8;0.0;0.0
04.01.2019 03:00;23.4;37.5;0.9;0.31;17.3;10.0;0.7;10533.8;41.2;-0.4;0.0;0.0
04.01.2019 04:00;29.8;24.6;0.8;0.29;14.3;9.6;0.6;6932.3;25.2;-0.9;0.0;-0.1
04.01.2019 05:00;17.1;42.8;0.8;0.31;15.4;10.1;0.8;22014.3;67.6;-1.4;0.0;-1.0
04.01.2019 06:00;9.0;49.2;0.8;0.30;15.4;10.3;0.9;23059.1;81.6;-2.2;0.0;-1.0
04.01.2019 07:00;5.5;62.7;1.6;0.36;17.6;11.3;1.0;33402.1;138.8;-2.2;0.0;-1.0
04.01.2019 08:00;2.2;67.2;1.4;0.38;16.1;11.5;1.2;33792.9;156.5;-2.4;0.0;-0.7
04.01.2019 09:00;9.1;49.1;1.2;0.32;18.6;13.7;0.9;16426.9;76.0;-2.3;0.0;30.2
04.01.2019 10:00;14.8;49.6;1.4;0.36;19.5;14.2;0.9;32247.8;111.6;-1.3;0.0;134.7
04.01.2019 11:00;21.8;50.0;1.4;0.37;25.8;15.6;1.0;29796.9;119.5;0.1;0.0;236.0
04.01.2019 12:00;39.5;20.3;1.0;0.27;18.8;14.2;0.5;8245.3;30.9;1.3;0.0;283.0
04.01.2019 13:00;50.2;12.7;0.9;0.25;16.4;13.0;0.4;5777.2;17.1;2.2;0.0;332.3
04.01.2019 14:00;55.1;11.5;0.7;0.23;13.2;10.6;0.3;4768.6;15.3;2.9;0.0;317.0
04.01.2019 15:00;63.3;10.0;0.6;0.21;9.6;7.2;0.2;3875.9;11.9;3.1;0.0;224.4
04.01.2019 16:00;53.2;13.0;0.5;0.23;13.0;10.2;0.3;4696.5;14.6;2.6;0.0;105.0
04.01.2019 17:00;44.2;35.5;0.5;0.29;11.7;8.7;0.5;18596.4;66.5;1.9;0.0;13.3
04.01.2019 18:00;8.1;98.9;1.8;0.59;21.1;12.1;2.4;62528.2;276.7;1.7;0.0;-0.5
04.01.2019 19:00;7.9;83.7;1.4;0.48;21.2;13.2;1.7;50182.2;191.4;1.1;0.0;0.0
04.01.2019 20:00;4.1;80.5;1.4;0.53;26.9;15.5;1.9;36660.9;170.9;0.6;0.0;0.0
04.01.2019 21:00;7.4;60.3;1.0;0.47;28.9;19.8;1.7;30839.9;116.5;-0.1;0.0;0.0
04.01.2019 22:00;4.2;68.6;1.1;0.48;32.7;20.5;1.7;30581.2;131.0;0.1;0.0;-0.5
04.01.2019 23:00;4.9;60.6;0.9;0.50;54.1;28.5;2.0;26703.6;114.7;-0.8;0.0;-0.2
05.01.2019 00:00;2.3;63.2;1.0;0.53;43.6;26.5;2.0;26348.5;135.1;-0.9;0.0;-0.3
05.01.2019 01:00;2.5;52.1;0.8;0.46;20.8;21.4;1.8;23027.2;105.8;-1.7;0.0;-1.0
05.01.2019 02:00;1.7;50.7;0.8;0.44;16.6;17.8;1.8;20544.1;105.3;-1.9;0.0;-0.2
05.01.2019 03:00;0.9;44.3;0.9;0.42;17.4;18.6;1.5;16460.1;96.2;-2.2;0.0;-0.1
05.01.2019 04:00;2.1;34.3;0.5;0.38;15.0;16.1;1.2;13380.3;53.7;-2.4;0.0;0.0
05.01.2019 05:00;0.8;41.2;0.8;0.40;15.5;16.2;1.3;22680.5;90.5;-2.1;0.0;0.0
05.01.2019 06:00;2.0;33.7;0.8;0.38;13.5;14.8;1.2;22963.4;76.1;-1.8;0.0;0.0
05.01.2019 07:00;3.0;33.8;0.8;0.38;13.1;14.2;1.1;19052.7;66.3;-1.6;0.0;0.0
05.01.2019 08:00;2.1;46.8;1.0;0.38;13.5;14.3;1.2;31536.4;105.6;-1.2;0.0;0.0
05.01.2019 09:00;4.2;45.4;0.8;0.43;21.3;16.5;1.5;30147.0;114.1;-1.4;0.3;3.3
05.01.2019 10:00;10.1;52.3;0.8;0.39;26.8;16.3;1.4;29411.9;120.7;-1.4;0.9;33.9
05.01.2019 11:00;23.1;46.8;0.9;0.31;30.4;17.8;1.0;20827.9;94.2;-1.1;0.9;69.5
05.01.2019 12:00;27.6;47.4;0.8;0.36;51.8;25.1;1.2;23520.8;102.2;-0.4;0.5;69.8
05.01.2019 13:00;24.2;46.9;0.8;0.40;54.8;28.2;1.3;27502.8;99.9;-0.2;0.4;56.1
05.01.2019 14:00;30.1;41.4;0.6;0.35;43.4;24.2;1.0;16988.2;79.0;-0.0;0.5;45.6
05.01.2019 15:00;33.2;45.0;0.6;0.33;29.9;17.6;0.9;18707.5;84.0;0.3;0.0;56.3
05.01.2019 16:00;32.1;51.1;0.7;0.35;34.7;18.0;0.9;25023.2;99.3;0.6;0.0;43.2
05.01.2019 17:00;29.0;48.7;0.7;0.35;36.7;17.4;1.0;28659.7;94.2;0.7;0.0;13.5
05.01.2019 18:00;23.0;54.1;0.7;0.35;38.6;20.6;1.2;20755.9;98.6;0.6;0.0;0.2
05.01.2019 19:00;25.2;48.9;0.7;0.37;36.6;23.2;1.2;23135.4;86.4;0.8;0.0;0.0
05.01.2019 20:00;30.7;32.2;0.8;0.33;21.7;20.2;0.9;15601.3;52.5;1.0;0.0;0.0
05.01.2019 21:00;25.4;38.4;0.6;0.34;21.1;19.0;0.9;15368.3;61.8;1.0;0.0;0.0
05.01.2019 22:00;15.1;43.9;0.5;0.36;20.9;20.3;1.0;12807.6;60.3;0.8;0.0;0.0
05.01.2019 23:00;11.6;50.5;0.7;0.42;21.8;19.4;1.2;25560.8;94.4;1.1;0.0;0.0
06.01.2019 00:00;12.0;47.4;0.7;0.41;20.2;18.9;1.2;18489.3;81.4;1.2;0.0;0.0
06.01.2019 01:00;9.1;50.6;0.7;0.41;23.8;17.7;1.2;24924.7;92.8;1.4;0.0;0.0
06.01.2019 02:00;12.5;39.0;0.6;0.35;19.5;15.3;0.9;17019.0;59.0;1.5;0.0;0.0
06.01.2019 03:00;7.9;38.4;0.5;0.36;20.0;16.0;1.1;20745.3;57.2;1.0;0.0;0.0
06.01.2019 04:00;4.1;40.1;0.7;0.36;20.7;16.7;1.2;23110.6;61.2;0.9;0.0;0.0
06.01.2019 05:00;4.2;34.0;0.5;0.37;19.7;15.7;1.1;18406.0;57.6;0.8;0.0;0.0
06.01.2019 06:00;13.4;26.0;0.5;0.32;16.6;13.9;0.8;8394.3;36.0;1.1;0.0;0.0
06.01.2019 07:00;13.7;26.8;0.5;0.31;15.3;12.5;0.7;8236.2;40.2;1.4;0.0;0.0
06.01.2019 08:00;6.6;33.0;0.6;0.34;16.6;13.5;0.9;13588.7;62.5;1.1;0.0;0.0
06.01.2019 09:00;7.6;34.7;0.7;0.37;19.5;13.7;1.0;22999.1;73.2;1.2;0.1;9.0
06.01.2019 10:00;5.9;40.4;0.9;0.39;21.4;13.5;1.1;21023.7;101.0;1.3;0.0;43.4
06.01.2019 11:00;6.9;46.5;1.0;0.45;22.7;14.1;1.4;31238.2;127.3;1.8;0.0;58.5
06.01.2019 12:00;10.7;43.3;1.1;0.43;20.7;13.1;1.3;29977.5;120.0;2.3;0.0;134.2
06.01.2019 13:00;13.8;45.8;1.0;0.47;16.7;11.6;1.3;31230.3;119.5;3.2;0.0;141.4
06.01.2019 14:00;17.1;45.7;0.8;0.40;12.0;9.0;1.0;29528.4;104.4;3.6;0.0;70.9
06.01.2019 15:00;25.6;35.7;0.6;0.34;8.5;6.6;0.8;32790.8;70.1;3.7;0.0;65.2
06.01.2019 16:00;28.3;43.6;0.5;0.28;6.5;5.1;0.5;25969.3;84.5;3.8;0.0;44.8
06.01.2019 17:00;41.8;24.7;0.4;0.24;5.6;4.5;0.3;10234.4;39.0;3.5;0.0;10.3
06.01.2019 18:00;47.6;16.2;0.3;0.21;4.9;4.1;0.2;3929.8;22.1;3.1;0.0;0.0
06.01.2019 19:00;48.5;12.4;0.3;0.20;4.9;4.2;0.2;2698.3;14.2;2.9;0.0;0.0
06.01.2019 20:00;17.5;51.1;0.7;0.41;6.9;5.9;0.9;23840.4;106.1;3.0;0.0;0.0
06.01.2019 21:00;1.1;52.9;1.1;0.61;15.2;12.1;1.7;23247.6;127.5;2.2;0.0;0.0
06.01.2019 22:00;0.9;55.7;1.1;0.63;15.6;12.9;1.8;32293.4;142.7;2.1;0.0;0.0
06.01.2019 23:00;1.1;44.4;0.8;0.47;17.6;13.6;1.3;20125.5;80.9;1.8;0.0;0.0
07.01.2019 00:00;1.1;42.8;0.8;0.46;16.1;13.4;1.3;15544.8;82.4;1.9;0.0;0.0
07.01.2019 01:00;1.7;34.7;0.6;0.43;17.0;13.4;1.2;16833.5;61.2;1.8;0.0;0.0
07.01.2019 02:00;4.9;27.6;0.5;0.38;16.0;13.2;1.6;13691.9;44.1;1.7;0.0;0.0
07.01.2019 03:00;7.1;28.8;0.5;0.37;13.2;11.0;0.7;9873.2;40.1;1.7;0.0;0.0
07.01.2019 04:00;8.9;23.4;0.5;0.34;11.9;10.0;0.6;10537.9;34.1;1.4;0.0;0.0
07.01.2019 05:00;5.6;33.7;0.7;0.31;11.7;9.7;0.6;30189.1;69.9;1.5;0.0;0.0
07.01.2019 06:00;4.7;42.1;1.0;0.34;11.5;9.4;0.9;56954.9;142.7;1.5;0.0;0.0
07.01.2019 07:00;3.7;52.5;1.3;0.44;11.4;9.2;1.2;65785.9;197.1;1.5;0.0;0.0
07.01.2019 08:00;2.2;57.6;1.4;0.41;11.1;9.1;1.1;65921.6;206.4;1.6;0.0;0.0
07.01.2019 09:00;1.4;56.1;1.3;0.41;12.4;10.1;1.4;56995.1;192.8;1.6;0.0;9.5
07.01.2019 10:00;2.5;57.2;1.6;0.44;12.6;9.8;1.3;43768.6;202.6;2.0;0.0;74.8
07.01.2019 11:00;34.3;18.8;0.7;0.26;11.1;8.8;0.5;8825.7;35.0;3.0;0.0;100.9
07.01.2019 12:00;19.7;48.2;0.9;0.30;12.8;9.8;0.9;33623.4;118.9;3.5;0.0;107.2
07.01.2019 13:00;31.3;30.2;0.6;0.26;10.0;8.2;0.5;22237.3;61.2;3.6;0.1;136.9
07.01.2019 14:00;40.8;13.2;0.3;0.22;6.8;5.8;0.2;4020.5;17.4;3.3;0.1;91.8
07.01.2019 15:00;21.5;52.9;0.7;0.28;7.6;5.8;0.6;36010.3;119.9;3.5;0.1;74.7
07.01.2019 16:00;17.3;58.7;0.8;0.29;7.8;5.7;0.7;43597.2;122.8;3.5;0.0;33.1
07.01.2019 17:00;20.6;56.4;0.9;0.34;7.9;6.0;0.8;37865.5;137.7;3.4;0.0;5.2
07.01.2019 18:00;6.8;70.3;1.0;0.46;12.2;9.7;1.3;55385.2;176.2;3.2;0.0;0.0
07.01.2019 19:00;13.0;47.2;0.6;0.32;9.8;7.8;0.7;23424.7;78.6;2.7;0.0;0.0
07.01.2019 20:00;9.7;45.4;0.7;0.38;10.5;8.7;1.0;34354.7;102.8;2.6;0.0;0.0
07.01.2019 21:00;9.3;38.3;0.6;0.34;12.3;10.1;1.0;21462.5;80.9;2.2;0.0;0.0
07.01.2019 22:00;6.8;41.9;0.7;0.38;12.1;9.9;1.0;22213.6;80.3;2.3;0.0;0.0
07.01.2019 23:00;8.4;35.7;0.5;0.39;13.2;10.9;1.1;26387.9;68.4;2.3;0.0;0.0
08.01.2019 00:00;12.0;36.6;0.5;0.33;13.1;10.2;0.8;14662.1;58.8;2.2;0.0;0.0
08.01.2019 01:00;25.7;27.4;0.4;0.26;6.6;6.6;0.5;10266.6;40.2;2.1;0.0;0.0
08.01.2019 02:00;37.5;13.9;0.4;0.23;6.9;7.2;0.3;5095.2;19.1;2.0;0.0;0.0
08.01.2019 03:00;36.5;13.3;0.3;0.23;8.5;8.8;0.4;6011.2;18.5;1.7;0.0;-0.4
08.01.2019 04:00;42.4;11.6;0.2;0.20;8.6;9.2;0.2;6951.0;17.2;1.2;0.2;-0.6
08.01.2019 05:00;44.5;12.1;0.3;0.20;10.1;10.4;0.3;7384.3;19.6;0.9;0.0;-0.0
08.01.2019 06:00;33.9;28.3;0.4;0.23;16.0;11.9;0.4;31752.8;65.9;1.2;0.1;-0.2
08.01.2019 07:00;29.9;36.1;0.5;0.25;20.9;13.0;0.6;26603.2;85.4;1.2;0.0;-0.8
08.01.2019 08:00;28.9;32.6;0.4;0.26;19.4;14.9;0.5;19326.7;69.2;1.3;0.3;-0.3
08.01.2019 09:00;28.7;30.2;0.4;0.25;18.2;16.0;0.5;20782.8;61.0;1.5;0.4;2.6
08.01.2019 10:00;32.6;26.8;0.5;0.24;14.9;14.0;0.4;18216.1;54.8;1.7;0.3;20.8
08.01.2019 11:00;36.9;26.5;0.4;0.24;12.9;11.9;0.5;17700.3;55.7;2.1;0.0;23.4
08.01.2019 12:00;34.4;31.6;0.4;0.25;14.9;12.3;0.5;24189.2;65.4;2.3;0.3;36.0
08.01.2019 13:00;32.9;33.8;0.5;0.27;13.5;11.5;0.6;27519.7;73.5;2.9;0.0;48.1
08.01.2019 14:00;30.6;34.9;1.0;0.25;13.8;11.7;0.5;18832.7;71.2;3.3;1.0;30.9
08.01.2019 15:00;24.8;44.6;1.4;0.28;13.9;11.2;0.7;34965.9;97.6;3.7;0.0;51.2
08.01.2019 16:00;33.5;47.3;0.8;0.27;9.9;6.3;0.5;37575.2;97.0;4.6;0.1;18.5
08.01.2019 17:00;39.7;51.4;0.6;0.26;10.5;6.2;0.6;27846.0;102.4;4.3;0.2;8.1
08.01.2019 18:00;26.5;49.8;0.7;0.32;8.5;5.6;0.8;33088.5;106.5;3.7;0.0;0.0
08.01.2019 19:00;33.4;40.2;0.6;0.31;6.9;5.7;0.7;26160.8;79.0;3.8;0.1;-0.4
08.01.2019 20:00;39.3;31.0;0.5;0.27;7.8;5.6;0.5;15713.7;52.2;3.6;0.2;-0.9
08.01.2019 21:00;47.9;25.8;0.4;0.24;9.5;5.6;0.4;11737.4;40.3;3.0;0.7;-0.1
08.01.2019 22:00;48.7;23.5;0.4;0.23;8.1;5.1;0.3;8331.0;34.4;3.0;0.8;-0.2
08.01.2019 23:00;54.6;20.2;0.3;0.21;6.0;4.3;0.3;8525.1;29.8;2.8;0.7;-0.2
09.01.2019 00:00;56.6;14.2;0.4;0.21;5.0;4.2;0.2;4601.2;20.5;3.0;0.1;0.0
09.01.2019 01:00;53.7;12.7;0.4;0.20;3.4;3.6;0.2;6221.5;17.4;2.6;0.2;-0.3
09.01.2019 02:00;65.4;8.1;0.3;0.18;2.9;3.1;0.1;2410.6;10.5;3.2;0.0;0.0
09.01.2019 03:00;67.8;7.0;0.2;0.17;3.2;3.2;0.1;2072.6;9.0;3.2;0.3;-0.4
09.01.2019 04:00;65.9;9.7;0.1;0.18;3.9;3.7;0.1;3687.4;13.0;2.9;0.3;-0.8
09.01.2019 05:00;60.7;16.6;0.2;0.18;3.6;3.4;0.1;7196.9;24.7;2.5;0.5;-1.0
09.01.2019 06:00;45.9;41.9;0.3;0.20;7.9;5.1;0.2;32170.9;75.2;2.5;0.1;-0.9
09.01.2019 07:00;39.2;55.8;0.5;0.23;11.5;5.6;0.4;35045.3;114.9;1.9;0.7;-1.0
09.01.2019 08:00;36.9;56.2;0.5;0.23;9.2;4.3;0.4;35596.2;119.6;1.2;0.1;-0.6
09.01.2019 09:00;66.7;12.6;0.1;0.18;3.2;2.0;0.1;5115.5;18.5;2.1;0.0;7.4
09.01.2019 10:00;41.7;51.1;0.4;0.23;8.1;3.3;0.4;35349.6;104.4;1.6;0.1;22.7
09.01.2019 11:00;41.7;52.0;0.4;0.22;13.5;5.0;0.5;34155.1;102.3;1.4;;41.5
09.01.2019 12:00;;;;0.15;11.4;4.5;0.5;33650.6;;1.9;;101.1
09.01.2019 13:00;67.0;5.8;0.1;0.17;3.1;2.5;0.1;2035.4;7.0;2.3;;148.3
09.01.2019 14:00;66.8;7.6;0.1;0.18;2.6;2.6;0.2;1782.2;8.8;2.5;;126.3
09.01.2019 15:00;49.2;37.9;0.3;0.20;9.0;3.2;0.3;20835.0;76.3;1.4;;73.6
09.01.2019 16:00;68.9;6.5;0.1;0.17;2.1;1.7;0.1;1348.0;7.2;1.6;;79.4
09.01.2019 17:00;51.8;35.6;0.3;0.27;4.0;2.5;0.4;31467.5;69.6;1.6;0.0;21.2
09.01.2019 18:00;34.1;50.8;0.3;0.31;6.1;3.5;0.7;44735.7;90.2;0.9;0.7;-0.2
09.01.2019 19:00;57.5;23.9;0.2;0.21;12.2;5.2;0.2;5731.7;37.9;0.5;0.0;-0.7
09.01.2019 20:00;63.2;14.9;0.1;0.18;4.9;3.3;0.1;3642.8;17.7;0.4;0.1;0.0
09.01.2019 21:00;63.5;11.4;0.1;0.19;3.6;3.4;0.1;1762.5;12.1;0.2;0.0;0.0
09.01.2019 22:00;53.2;21.8;0.1;0.21;7.9;5.0;0.3;10437.9;27.3;0.2;0.0;0.0
09.01.2019 23:00;42.8;32.4;0.3;0.25;15.5;8.1;0.4;14976.0;50.0;-0.3;0.1;0.0
10.01.2019 00:00;39.9;28.4;0.3;0.25;16.1;9.7;0.4;14252.6;42.2;-0.5;0.0;0.0
10.01.2019 01:00;31.0;29.8;0.2;0.23;13.6;10.9;0.3;7735.7;42.9;-0.5;0.6;0.0
10.01.2019 02:00;27.0;35.7;0.3;0.24;12.7;11.7;0.4;6848.2;45.2;-0.7;0.1;0.0
10.01.2019 03:00;13.6;55.9;0.4;0.25;12.9;13.3;0.6;25204.3;86.4;-0.9;0.0;0.0
10.01.2019 04:00;7.5;53.4;0.4;0.25;10.8;12.8;0.6;13546.4;66.0;-1.0;0.0;0.0
10.01.2019 05:00;4.8;57.5;0.5;0.27;16.4;14.4;0.7;25852.0;95.2;-0.9;0.0;0.0
10.01.2019 06:00;4.8;68.3;1.0;0.32;26.7;17.2;0.9;52808.3;171.1;-0.6;0.1;0.0
10.01.2019 07:00;3.7;78.6;1.3;0.37;23.8;15.0;0.9;48708.3;199.2;-0.8;0.0;-0.1
10.01.2019 08:00;1.1;75.4;1.4;0.40;17.4;13.7;1.1;37536.7;189.5;-1.5;0.0;-0.1
10.01.2019 09:00;1.7;81.3;1.9;0.45;12.7;13.4;1.4;57584.1;235.6;-1.2;0.0;9.8
10.01.2019 10:00;5.5;80.4;1.6;0.39;18.0;15.5;1.4;65074.0;253.7;-0.6;0.1;54.7
10.01.2019 11:00;13.0;62.3;1.0;0.32;23.4;17.6;1.0;55332.9;175.9;-0.2;0.0;95.0
